Reaction Object ID,Reaction-List,Reactants of reaction,Reactants-Object ID,Reactants-Chemical Formula,Reactants-Monoisotopic-Molecular-Weight,Products of reaction,Products-Object ID,Products-Chemical Formula,Products-Monoisotopic-Molecular-Weight
RXN-11044,L-selenocysteine  =  L-selenomethionine,L-selenocysteine,L-SELENOCYSTEINE,C3H7NO2Se,168.9642002741d0,L-selenomethionine,SELENOMETHIONINE,C5H11NO2Se,196.9955004025d0
SELENOCYSTEINE-LYASE-RXN,L-selenocysteine + a reduced two electron carrier  ->  L-alanine + selenide + an oxidized electron carrier + 2 H+,a reduced two electron carrier // L-selenocysteine,Donor-H2 // L-SELENOCYSTEINE, // C3H7NO2Se,168.9642002741d0,L-alanine // selenide // an oxidized electron carrier // H<SUP>+</SUP>,L-ALPHA-ALANINE // SE-2 // Acceptor // PROTON,C3H7NO2 // Se //  // H,89.0476784741d0 // 81.9321718642d0 // 1.0078250321d0
RXN-15125,L-serine  ->  2-aminoprop-2-enoate + H2O,L-serine,SER,C3H7NO3,105.0425930962d0,2-aminoprop-2-enoate // H<sub>2</sub>O,2-AMINOACRYLATE // WATER,C3H5NO2 // H2O,87.0320284099d0 // 18.0105646863d0
4.3.1.17-RXN,L-serine  ->  pyruvate + ammonium,L-serine,SER,C3H7NO3,105.0425930962d0,pyruvate // ammonium,PYRUVATE // AMMONIUM,C3H3O3 // H4N,88.0160439947d0 // 18.0343741336d0
RXN-974,L-serine + 2-oxoglutarate  =  L-glutamate + 3-hydroxypyruvate,L-serine // 2-oxoglutarate,SER // 2-KETOGLUTARATE,C3H7NO3 // C5H4O5,105.0425930962d0 // 146.0215233031d0,L-glutamate // 3-hydroxypyruvate,GLT // OH-PYR,C5H8NO4 // C3H3O4,147.0531577825d0 // 104.0109586168d0
ENTF-RXN,L-serine + ATP + H+  ->  (L-seryl)adenylate + diphosphate,L-serine // ATP // H<SUP>+</SUP>,SER // ATP // PROTON,C3H7NO3 // C10H12N5O13P3 // H,105.0425930962d0 // 506.99574515689994d0 // 1.0078250321d0,(L-seryl)adenylate // diphosphate,SERYL-AMP // PPI,C13H19N6O9P // HO7P2,434.09511275000006d0 // 177.9432255031d0
RXN-8780,"L-sorbosone  ->  L-sorbosone 1,4-lactone",L-sorbosone,L-SORBOSONE,C6H10O6,178.0477380536d0,"L-sorbosone 1,4-lactone",CPD-9055,C6H10O6,178.0477380536d0
RXN-8779,"L-sorbosone  ->  L-sorbosone 2,6-lactone",L-sorbosone,L-SORBOSONE,C6H10O6,178.0477380536d0,"L-sorbosone 2,6-lactone",CPD-9056,C6H10O6,178.0477380536d0
RXN-12989,L-tetrahomomethionine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  N-hydroxy-tetrahomomethionine + oxidized [NADPH-hemoprotein reductase] + H2O + H+,L-tetrahomomethionine // dioxygen // a reduced [NADPH-hemoprotein reductase],CPDQT-349 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C9H19NO2S // O2 // ,205.1136495493d0 // 31.9898292442d0,<i>N</i>-hydroxy-tetrahomomethionine // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase] // H<SUP>+</SUP>,CPD-14051 // WATER // Ox-NADPH-Hemoprotein-Reductases // PROTON,C9H18NO3S // H2O //  // H,221.1085641714d0 // 18.0105646863d0 // 1.0078250321d0
RXN-12645,L-threo-sphinganine + NADP+  <-  3-dehydrosphinganine + NADPH + H+,3-dehydrosphinganine // NADPH // H<SUP>+</SUP>,DEHYDROSPHINGANINE // NADPH // PROTON,C18H38NO2 // C21H26N7O17P3 // H,299.2824294371d0 // 745.0911021051d0 // 1.0078250321d0,L-<i>threo</i>-sphinganine // NADP<sup>+</sup>,CPD-13613 // NADP,C18H40NO2 // C21H25N7O17P3,301.2980795013d0 // 745.0911021051d0
THREDEHYD-RXN,L-threonine  ->  2-oxobutanoate + ammonium,L-threonine,THR,C4H9NO3,119.0582431604d0,2-oxobutanoate // ammonium,2-OXOBUTANOATE // AMMONIUM,C4H5O3 // H4N,102.0316940589d0 // 18.0343741336d0
RXN-14505,L-threonine 3-O-phosphate[periplasm] + H2O[periplasm]  ->  L-threonine[periplasm] + phosphate[periplasm],L-threonine 3-O-phosphate // H<sub>2</sub>O,L-THREONINE-O-3-PHOSPHATE // WATER,C4H8NO6P // H2O,199.0245735688d0 // 18.0105646863d0,L-threonine // phosphate,THR // Pi,C4H9NO3 // HO4P,119.0582431604d0 // 97.9768950947d0
RXN-13021,L-trihomomethionine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  N-hydroxytrihomomethionine + oxidized [NADPH-hemoprotein reductase] + H2O + H+,L-trihomomethionine // dioxygen // a reduced [NADPH-hemoprotein reductase],CPDQT-404 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C8H17NO2S // O2 // ,191.09799948510002d0 // 31.9898292442d0,<i>N</i>-hydroxytrihomomethionine // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase] // H<SUP>+</SUP>,CPD-14049 // WATER // Ox-NADPH-Hemoprotein-Reductases // PROTON,C8H16NO3S // H2O //  // H,207.09291410720002d0 // 18.0105646863d0 // 1.0078250321d0
RXN-1402,L-tryptophan + 2 reduced [NADPH-hemoprotein reductase] + 2 dioxygen  ->  (E)-(indol-3-yl)acetaldehyde oxime + 2 oxidized [NADPH-hemoprotein reductase] + CO2 + 3 H2O,L-tryptophan // a reduced [NADPH-hemoprotein reductase] // dioxygen,TRP // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C11H12N2O2 //  // O2,204.0898776398d0 // 31.9898292442d0,(<i>E</i>)-(indol-3-yl)acetaldehyde oxime // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O // CO<SUB>2</SUB>,INDOLE-3-ACETALDOXIME // Ox-NADPH-Hemoprotein-Reductases // WATER // CARBON-DIOXIDE,C10H10N2O //  // H2O // CO2,174.0793129535d0 // 18.0105646863d0 // 43.989829244199996d0
2.6.1.28-RXN,L-tryptophan + 3-phenyl-2-oxopropanoate  <-->  (indol-3-yl)pyruvate + L-phenylalanine,L-tryptophan // 3-phenyl-2-oxopropanoate,TRP // PHENYL-PYRUVATE,C11H12N2O2 // C9H7O3,204.0898776398d0 // 164.0473441231d0,(indol-3-yl)pyruvate // L-phenylalanine,INDOLE_PYRUVATE // PHE,C11H8NO3 // C9H11NO2,203.0582431604d0 // 165.0789786025d0
RXN-13187,L-tyrosine + 2 reduced [NADPH-hemoprotein reductase] + 2 dioxygen  ->  (E)-(4-hydroxyphenyl)acetaldehyde oxime + 2 oxidized [NADPH-hemoprotein reductase] + CO2 + 3 H2O,L-tyrosine // dioxygen // a reduced [NADPH-hemoprotein reductase],TYR // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C9H11NO3 // O2 // ,181.0738932246d0 // 31.9898292442d0,(<i>E</i>)-(4-hydroxyphenyl)acetaldehyde oxime // an oxidized [NADPH-hemoprotein reductase] // CO<SUB>2</SUB> // H<sub>2</sub>O,CPD-2205 // Ox-NADPH-Hemoprotein-Reductases // CARBON-DIOXIDE // WATER,C8H9NO2 //  // CO2 // H2O,151.0633285383d0 // 43.989829244199996d0 // 18.0105646863d0
MONOPHENOL-MONOOXYGENASE-RXN,L-tyrosine + dioxygen  ->  dopaquinone + H2O,L-tyrosine // dioxygen,TYR // OXYGEN-MOLECULE,C9H11NO3 // O2,181.0738932246d0 // 31.9898292442d0,dopaquinone // H<sub>2</sub>O,DOPAQUINONE // WATER,C9H9NO4 // H2O,195.0531577825d0 // 18.0105646863d0
RXN3O-4157,L-tyrosine + pyruvate  <-->  3-(4-hydroxyphenyl)pyruvate + L-alanine,L-tyrosine // pyruvate,TYR // PYRUVATE,C9H11NO3 // C3H3O3,181.0738932246d0 // 88.0160439947d0,3-(4-hydroxyphenyl)pyruvate // L-alanine,P-HYDROXY-PHENYLPYRUVATE // L-ALPHA-ALANINE,C9H7O4 // C3H7NO2,180.0422587452d0 // 89.0476784741d0
1.14.13.118-RXN,L-valine + 2 reduced [NADPH-hemoprotein reductase] + 2 dioxygen  ->  (E)-2-methylpropanal-oxime + 2 oxidized [NADPH-hemoprotein reductase] + CO2 + 3 H2O,L-valine // dioxygen // a reduced [NADPH-hemoprotein reductase],VAL // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C5H11NO2 // O2 // ,117.0789786025d0 // 31.9898292442d0,(<i>E</i>)-2-methylpropanal-oxime // an oxidized [NADPH-hemoprotein reductase] // CO<SUB>2</SUB> // H<sub>2</sub>O,2-METHYLPROPANAL-OXIME // Ox-NADPH-Hemoprotein-Reductases // CARBON-DIOXIDE // WATER,C4H9NO //  // CO2 // H2O,87.0684139162d0 // 43.989829244199996d0 // 18.0105646863d0
RXN66-303,lanosterol 14-hydroxylase,lanosterol // a reduced [NADPH-hemoprotein reductase] // dioxygen,LANOSTEROL // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C30H50O //  // O2,426.3861662271d0 // 31.9898292442d0,30-hydroxylanosterol // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O,CPD-4568 // Ox-NADPH-Hemoprotein-Reductases // WATER,C30H50O2 //  // H2O,442.3810808492d0 // 18.0105646863d0
RXN-11232,lesquerolate  =  auricolate,lesquerolate,CPD-12170,C20H37O3,326.2820950861d0,auricolate,CPD-12191,C22H39O3,352.2977451503d0
RXN-11369,leucodopachrome + dopaquinone  ->  L-dopachrome + L-dopa,leucodopachrome // dopaquinone,CPD-8652 // DOPAQUINONE,C9H8NO4 // C9H9NO4,195.0531577825d0,L-dopachrome // L-dopa,L-DOPACHROME // L-DIHYDROXY-PHENYLALANINE,C9H6NO4 // C9H11NO4,193.0375077183d0 // 197.0688078467d0
RXN-9673,linoleate + coenzyme A + ATP  ->  linoleoyl-CoA + AMP + diphosphate,linoleate // coenzyme A // ATP,LINOLEIC_ACID // CO-A // ATP,C18H31O2 // C21H32N7O16P3S // C10H12N5O13P3,280.2402302714d0 // 767.1152083656d0 // 506.99574515689994d0,linoleoyl-CoA // diphosphate // AMP,CPD-18 // PPI // AMP,C39H62N7O17P3S // HO7P2 // C10H12N5O7P,1029.3448739507d0 // 177.9432255031d0 // 347.0630843401d0
1.14.19.3-RXN,linoleoyl-CoA + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  gamma-linolenoyl-CoA + 2 ferricytochrome b5 + 2 H2O,linoleoyl-CoA // dioxygen // a ferrocytochrome <i>b<SUB>5</SUB></i> // H<SUP>+</SUP>,CPD-18 // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // PROTON,C39H62N7O17P3S // O2 //  // H,1029.3448739507d0 // 31.9898292442d0 // 1.0078250321d0,&gamma;-linolenoyl-CoA // H<sub>2</sub>O // a ferricytochrome <i>b<sub>5</sub></i>,GAMMA-LINOLENOYL-COA // WATER // FERRICYTOCHROME-B5,C39H60N7O17P3S // H2O // ,1027.3292238865d0 // 18.0105646863d0
RXN-11675,"linoleoyl-CoA + malonyl-CoA + 2 NADPH + 3 H+  =  (11Z,14Z)-icosadienoyl-CoA + CO2 + coenzyme A + 2 NADP+ + H2O",linoleoyl-CoA // malonyl-CoA // NADPH // H<SUP>+</SUP>,CPD-18 // MALONYL-COA // NADPH // PROTON,C39H62N7O17P3S // C24H33N7O19P3S // C21H26N7O17P3 // H,1029.3448739507d0 // 853.1156022961001d0 // 745.0911021051d0 // 1.0078250321d0,"(11Z,14Z)-icosadienoyl-CoA // CO<SUB>2</SUB> // coenzyme A // NADP<sup>+</sup> // H<sub>2</sub>O",CPD-12646 // CARBON-DIOXIDE // CO-A // NADP // WATER,C41H66N7O17P3S // CO2 // C21H32N7O16P3S // C21H25N7O17P3 // H2O,1057.3761740791d0 // 43.989829244199996d0 // 767.1152083656d0 // 745.0911021051d0 // 18.0105646863d0
RXN-12338,"lupan-3beta,20-diol  <-  (3S)-2,3-epoxy-2,3-dihydrosqualene + H2O","(3<i>S</i>)-2,3-epoxy-2,3-dihydrosqualene // H<sub>2</sub>O",EPOXYSQUALENE // WATER,C30H50O // H2O,426.3861662271d0 // 18.0105646863d0,"lupan-3&beta;,20-diol",CPD-6951,C30H52O2,444.3967309134d0
RXN-13507,lupeol + 3 reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  betulinate + 3 oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+,lupeol // a reduced [NADPH-hemoprotein reductase] // dioxygen,CPD-90 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE,C30H50O //  // O2,426.3861662271d0 // 31.9898292442d0,betulinate // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O // H<SUP>+</SUP>,CPD-14493 // Ox-NADPH-Hemoprotein-Reductases // WATER // PROTON,C30H47O3 //  // H2O // H,456.3603454071d0 // 18.0105646863d0 // 1.0078250321d0
RXN-15524,luteolin 8-hydroxylase,luteolin // NADPH // dioxygen // H<SUP>+</SUP>,5734-TETRAHYDROXYFLAVONE // NADPH // OXYGEN-MOLECULE // PROTON,C15H9O6 // C21H26N7O17P3 // O2 // H,286.04773805359997d0 // 745.0911021051d0 // 31.9898292442d0 // 1.0078250321d0,8-hydroxy-luteolin // NADP<sup>+</sup> // H<sub>2</sub>O,CPD-16763 // NADP // WATER,C15H9O7 // C21H25N7O17P3 // H2O,302.04265267569997d0 // 745.0911021051d0 // 18.0105646863d0
RXN-13191,"magnesium-protoporphyrin IX 13-monomethyl ester + 3 NADPH + 2 H+ + 3 dioxygen  ->  3,8-divinyl protochlorophyllide a + 3 NADP+ + 5 H2O",magnesium-protoporphyrin IX 13-monomethyl ester // NADPH // H<SUP>+</SUP> // dioxygen,MG-PROTOPORPHYRIN-MONOMETHYL-ESTER // NADPH // PROTON // OXYGEN-MOLECULE,C35H33N4O4Mg // C21H26N7O17P3 // H // O2,598.2430475006001d0 // 745.0911021051d0 // 1.0078250321d0 // 31.9898292442d0,"3,8-divinyl protochlorophyllide <i>a</i> // NADP<sup>+</sup> // H<sub>2</sub>O",DIVINYL-PROTOCHLOROPHYLLIDE-A // NADP // WATER,C35H28N4O5Mg // C21H25N7O17P3 // H2O,610.2066619943d0 // 745.0911021051d0 // 18.0105646863d0
RXN-23869,"malonyl-CoA + (4E)-5-(3,4-dihydroxyphenyl)-3-oxopent-4-enoyl-CoA  ->  hispidin + CO2 + 2 coenzyme A","malonyl-CoA // (4E)-5-(3,4-dihydroxyphenyl)-3-oxopent-4-enoyl-CoA",MALONYL-COA // CPD-26443,C24H33N7O19P3S // C32H40N7O20P3S,853.1156022961001d0 // 971.1574671108d0,hispidin // CO<SUB>2</SUB> // coenzyme A,CPD-6989 // CARBON-DIOXIDE // CO-A,C13H9O5 // CO2 // C21H32N7O16P3S,246.05282343149997d0 // 43.989829244199996d0 // 767.1152083656d0
RXN-23868,"malonyl-CoA + (E)-caffeoyl-CoA + H+  ->  (4E)-5-(3,4-dihydroxyphenyl)-3-oxopent-4-enoyl-CoA + CO2 + coenzyme A",malonyl-CoA // (<i>E</i>)-caffeoyl-CoA // H<SUP>+</SUP>,MALONYL-COA // CAFFEOYL-COA // PROTON,C24H33N7O19P3S // C30H38N7O19P3S // H,853.1156022961001d0 // 929.1469024244999d0 // 1.0078250321d0,"(4E)-5-(3,4-dihydroxyphenyl)-3-oxopent-4-enoyl-CoA // CO<SUB>2</SUB> // coenzyme A",CPD-26443 // CARBON-DIOXIDE // CO-A,C32H40N7O20P3S // CO2 // C21H32N7O16P3S,971.1574671108d0 // 43.989829244199996d0 // 767.1152083656d0
RXN-23867,malonyl-CoA + 5-methyl-3-oxohexanoyl-CoA  ->  6-isobutyl-4-hydroxy-2-pyrone + 2 coenzyme A + CO2,malonyl-CoA // 5-methyl-3-oxohexanoyl-CoA,MALONYL-COA // CPD-26442,C24H33N7O19P3S // C28H42N7O18P3S,853.1156022961001d0 // 893.1832879308d0,6-isobutyl-4-hydroxy-2-pyrone // coenzyme A // CO<SUB>2</SUB>,CPD-7146 // CO-A // CARBON-DIOXIDE,C9H11O3 // C21H32N7O16P3S // CO2,168.0786442515d0 // 767.1152083656d0 // 43.989829244199996d0
MALTODEG-RXN,maltohexaose + maltose  ->  maltoheptaose + D-glucopyranose,maltohexaose // maltose,MALTOHEXAOSE // MALTOSE,C36H62O31 // C12H22O11,990.3275052752999d0 // 342.11621154930003d0,maltoheptaose // D-glucopyranose,CPD0-1133 // Glucopyranose,C42H72O36 // C6H12O6,1152.3803287068d0 // 180.0633881178d0
MALDEXPHOSPHORYL-RXN,maltotetraose + 2 phosphate  =  2 alpha-D-glucopyranose 1-phosphate + a maltodextrin,phosphate // maltotetraose,Pi // MALTOTETRAOSE,HO4P // C24H42O21,"In SUBSEQ, `end' (3) is beyond the end of the sequence (2).",&alpha;-D-glucopyranose 1-phosphate // a maltodextrin,GLC-1-P // CPD-1790,C6H11O9P // ,260.0297185262d0
AMYLOMALT-RXN,maltotetraose + D-glucopyranose  <-->  maltotriose + maltose,maltotetraose // D-glucopyranose,MALTOTETRAOSE // Glucopyranose,C24H42O21 // C6H12O6,666.2218584123d0 // 180.0633881178d0,maltotriose // maltose,MALTOTRIOSE // MALTOSE,C18H32O16 // C12H22O11,504.1690349808d0 // 342.11621154930003d0
RXN0-5182,maltotetraose + phosphate  ->  maltotriose + alpha-D-glucopyranose 1-phosphate,maltotetraose // phosphate,MALTOTETRAOSE // Pi,C24H42O21 // HO4P,666.2218584123d0 // 97.9768950947d0,maltotriose // &alpha;-D-glucopyranose 1-phosphate,MALTOTRIOSE // GLC-1-P,C18H32O16 // C6H11O9P,504.1690349808d0 // 260.0297185262d0
3.2.1.114-RXN,Man5(GlcNAc)3-[protein] + 2 H2O  ->  Man3(GlcNAc)3-[protein] + 2 alpha-D-mannopyranose,Man<sub>5</sub>(GlcNAc)<sub>3</sub>-[protein] // H<sub>2</sub>O,Mannosyl5-N-acetyl-glucosamine2-R // WATER, // H2O,18.0105646863d0,Man<sub>3</sub>(GlcNAc)<sub>3</sub>-[protein] // &alpha;-D-mannopyranose,2-N-linked-Glycan // CPD-13559, // C6H12O6,180.0633881178d0
RXN2GG-5264,glucosyltransferase,medicagenic acid,CPD2GG-5240,C30H46O6,502.32943920919996d0,"3-glc-glc-rha, 28-glc medicagenic acid",CPD2GG-5257,C54H86O25,1134.5458183131d0
12-ALPHA-L-FUCOSIDASE-RXN,methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside + H2O  ->  L-fucopyranose + methyl-beta-D-galactoside,H<sub>2</sub>O // methyl-2-&alpha;-L-fucopyranosyl-&beta;-D-galactoside,WATER // CPD-8198,H2O // C13H24O10,18.0105646863d0 // 340.1369469914d0,L-fucopyranose // methyl-&beta;-D-galactoside,L-Fucopyranoses // METHYL-BETA-D-GALACTOSIDE,C6H12O5 // C7H14O6,164.0684734957d0 // 194.079038182d0
RXN-21538,methylcob(III)alamin-[methionine synthase] + L-homocysteine  ->  cob(I)alamin-[methionine synthase] + L-methionine + H+,methylcob(III)alamin-[methionine synthase] // L-homocysteine,METHIONINE-SYNTHASE-METHYLCOBALAMIN // HOMO-CYS, // C4H9NO2S,135.0353992283d0,cob(I)alamin-[methionine synthase] // L-methionine // H<SUP>+</SUP>,Methionine-synthase-cob-I-alamins // MET // PROTON, // C5H11NO2S // H,149.0510492925d0 // 1.0078250321d0
RXN-24129,methylglyoxal + glutathione  ->  S-lactoylglutathione hemithioacetal,methylglyoxal // glutathione,METHYL-GLYOXAL // GLUTATHIONE,C3H4O2 // C10H16N3O6S,72.0211293726d0 // 307.0838059839d0,<i>S</i>-lactoylglutathione hemithioacetal,CPD-26676,C13H20N3O8S,379.1049353565d0
1.2.1.27-RXN,methylmalonate semialdehyde + coenzyme A + NAD+ + H2O  ->  propanoyl-CoA + hydrogen carbonate + NADH + H+,methylmalonate semialdehyde // coenzyme A // NAD<sup>+</sup> // H<sub>2</sub>O,CPD-12179 // CO-A // NAD // WATER,C4H5O3 // C21H32N7O16P3S // C21H26N7O14P2 // H2O,102.0316940589d0 // 767.1152083656d0 // 665.1247716966999d0 // 18.0105646863d0,propanoyl-CoA // hydrogen carbonate // NADH // H<SUP>+</SUP>,PROPIONYL-COA // HCO3 // NADH // PROTON,C24H36N7O17P3S // CHO3 // C21H27N7O14P2 // H,823.1414231161d0 // 62.000393930499996d0 // 665.1247716966999d0 // 1.0078250321d0
RXN-10727,myristoyl-ACP hydrolase activity,a myristoyl-[acp] // H<sub>2</sub>O,Myristoyl-ACPs // WATER, // H2O,18.0105646863d0,a soluble [acyl-carrier protein] // tetradecanoate // H<SUP>+</SUP>,ACP // CPD-7836 // PROTON, // C14H27O2 // H,228.208930143d0 // 1.0078250321d0
NADPH--FERRIHEMOPROTEIN-REDUCTASE-RXN,n oxidized hemoproteins + NADPH + H+  ->  n reduced hemoproteins + NADP+,an oxidized hemoprotein // NADPH // H<SUP>+</SUP>,Oxidized-hemoproteins // NADPH // PROTON, // C21H26N7O17P3 // H,745.0911021051d0 // 1.0078250321d0,a reduced hemoprotein // NADP<sup>+</sup>,Reduced-hemoproteins // NADP, // C21H25N7O17P3,745.0911021051d0
RXN-8380,n sulfur(0) + hydrosulfide  ->  a polysulfide + H+,sulfur(0) // hydrosulfide,Elemental-Sulfur // CPD-846,S // hydrogen sulfide,31.97207069d0 // 33.9877207542d0,a polysulfide // H<SUP>+</SUP>,Polysulfides // PROTON, // H,1.0078250321d0
TEICHOICSYN5-RXN,n UDP-alpha-D-glucose + (Gro-P)n-Gro-P-ManNAc-GlcNAc-PP-undecaprenol  ->  [(2-Glc)-Gro-P]n-Gro-P-ManNAc-GlcNAc-PP-undecaprenol + n UDP + n H+,UDP-&alpha;-D-glucose // (Gro-P)<sub>n</sub>-Gro-P-ManNAc-GlcNAc-PP-undecaprenol,CPD-12575 // Teichoic-P-Gro,C15H22N2O17P2 // ,566.0550203765d0,[(2-Glc)-Gro-P]<sub>n</sub>-Gro-P-ManNAc-GlcNAc-PP-undecaprenol // UDP // H<SUP>+</SUP>,Teichoic-P-Gro-Glc // UDP // PROTON, // C9H11N2O12P2 // H,404.002196945d0 // 1.0078250321d0
2.4.1.52-RXN,n UDP-alpha-D-glucose + poly (glycerol phosphate)  =  o-(alpha-D-glucosyl)-polyglycerol phosphate + n UDP + n H+,UDP-&alpha;-D-glucose // poly (glycerol phosphate),CPD-12575 // GLYCEROPHOSPHATEN1,C15H22N2O17P2 // ,566.0550203765d0,<i>o</i>-(&alpha;-D-glucosyl)-polyglycerol phosphate // UDP // H<SUP>+</SUP>,ALPHA-D-GLUCOSYLPOLYGLYCEROL-PHOSPHATE // UDP // PROTON, // C9H11N2O12P2 // H,404.002196945d0 // 1.0078250321d0
RXN-13025,"N, N-dihydroxy-tetrahomomethionine + H+  =  (E)-7-(methyltsulfanyl)heptanal oxime + CO2 + H2O","<i>N</i>, <i>N</i>-dihydroxy-tetrahomomethionine // H<SUP>+</SUP>",CPD-14052 // PROTON,C9H18NO4S // H,237.1034787935d0 // 1.0078250321d0,(<i>E</i>)-7-(methyltsulfanyl)heptanal oxime // H<sub>2</sub>O // CO<SUB>2</SUB>,CPDQT-405 // WATER // CARBON-DIOXIDE,C8H17NOS // H2O // CO2,175.10308486300002d0 // 18.0105646863d0 // 43.989829244199996d0
RXN-13023,"N, N-dihydroxytrihomomethionine + H+  =  (E)-6-(methylsulfanyl)hexanal oxime + CO2 + H2O","<i>N</i>, <i>N</i>-dihydroxytrihomomethionine // H<SUP>+</SUP>",CPD-14050 // PROTON,C8H16NO4S // H,223.0878287293d0 // 1.0078250321d0,(<i>E</i>)-6-(methylsulfanyl)hexanal oxime // H<sub>2</sub>O // CO<SUB>2</SUB>,CPDQT-343 // WATER // CARBON-DIOXIDE,C7H15NOS // H2O // CO2,161.08743479880002d0 // 18.0105646863d0 // 43.989829244199996d0
RXN-13020,"N,N-dihydroxy-L-dihomomethionine + H+  =  (E)-5-(methylsulfanyl)pentanal oxime + CO2 + H2O","<i>N</i>,<i>N</i>-dihydroxy-L-dihomomethionine // H<SUP>+</SUP>",CPD-14048 // PROTON,C7H14NO4S // H,209.0721786651d0 // 1.0078250321d0,(<i>E</i>)-5-(methylsulfanyl)pentanal oxime // H<sub>2</sub>O // CO<SUB>2</SUB>,CPDQT-341 // WATER // CARBON-DIOXIDE,C6H13NOS // H2O // CO2,147.07178473460002d0 // 18.0105646863d0 // 43.989829244199996d0
RXN-12991,"N,N-dihydroxyhexahomomethioniate + H+  =  (E)-9-(methylsulfanyl)nonanal oxime + CO2 + H2O","<i>N</i>,<i>N</i>-dihydroxyhexahomomethioniate // H<SUP>+</SUP>",CPD-14037 // PROTON,C11H22NO4S // H,265.13477892189997d0 // 1.0078250321d0,(<i>E</i>)-9-(methylsulfanyl)nonanal oxime // H<sub>2</sub>O // CO<SUB>2</SUB>,CPDQT-262 // WATER // CARBON-DIOXIDE,C10H21NOS // H2O // CO2,203.1343849914d0 // 18.0105646863d0 // 43.989829244199996d0
RXN-13016,"N,N-dihydroxyhomomethionine + H+  =  (E)-4-(methylsulfanyl)butanal oxime + CO2 + H2O","<i>N</i>,<i>N</i>-dihydroxyhomomethionine // H<SUP>+</SUP>",CPD-14046 // PROTON,C6H12NO4S // H,195.0565286009d0 // 1.0078250321d0,(<i>E</i>)-4-(methylsulfanyl)butanal oxime // H<sub>2</sub>O // CO<SUB>2</SUB>,3-METHYLTHIOPROPANALDOXIME // WATER // CARBON-DIOXIDE,C5H11NOS // H2O // CO2,133.0561346704d0 // 18.0105646863d0 // 43.989829244199996d0
RXN-13005,"N,N-dihydroxypentahomomethionine + H+  =  (E)-8-(methylsulfanyl)octanal oxime + CO2 + H2O","<i>N</i>,<i>N</i>-dihydroxypentahomomethionine // H<SUP>+</SUP>",CPD-14040 // PROTON,C10H20NO4S // H,251.1191288577d0 // 1.0078250321d0,(<i>E</i>)-8-(methylsulfanyl)octanal oxime // CO<SUB>2</SUB> // H<sub>2</sub>O,CPDQT-350 // CARBON-DIOXIDE // WATER,C9H19NOS // CO2 // H2O,189.1187349272d0 // 43.989829244199996d0 // 18.0105646863d0
RXN0-5040,N-(4-aminobenzoyl)-L-glutamate + H2O  ->  4-aminobenzoate + L-glutamate,H<sub>2</sub>O // <i>N</i>-(4-aminobenzoyl)-L-glutamate,WATER // CPD0-889,H2O // C12H12N2O5,18.0105646863d0 // 266.0902715703d0,4-aminobenzoate // L-glutamate,P-AMINO-BENZOATE // GLT,C7H6NO2 // C5H8NO4,137.0476784741d0 // 147.0531577825d0
RXN-16426,"N-acetyl-D-glucosamine 1,6-bisphosphate + phosphoacetylglucosamine mutase  <-->  phosphorylated phosphoacetylglucosamine mutase + N-acetyl-alpha-D-glucosamine 1-phosphate","<i>N</i>-acetyl-D-glucosamine 1,6-bisphosphate // a phosphoacetylglucosamine mutase",N-ACETYL-D-GLUCOSAMINE-16-BIS-P // Phosphoacetylglucosamine-Mutase,C8H13NO12P2 // ,381.0225980361d0,a phosphorylated phosphoacetylglucosamine mutase // <i>N</i>-acetyl-&alpha;-D-glucosamine 1-phosphate,Phosphoacetylglucosamine-Mutase-P // N-ACETYL-D-GLUCOSAMINE-1-P, // C8H14NO9P,301.0562676277d0
